page	centroid_x	centroid_y	source	ocr_confidence	text
1	0.544354	0.864431	native_pdf	1.000	1
1	0.544181	0.865139	native_pdf	1.000	CU
1	0.543953	0.866077	native_pdf	1.000	YD
1	0.531427	0.863292	native_pdf	1.000	1
1	0.531255	0.864000	native_pdf	1.000	CU
1	0.531027	0.864938	native_pdf	1.000	YD
1	0.031014	0.510372	native_pdf	1.000	UP
1	0.052192	0.600460	native_pdf	1.000	FEC
1	0.054037	0.529266	native_pdf	1.000	FEC
1	0.603983	1.049037	native_pdf	1.000	BPS
1	0.603983	1.099681	native_pdf	1.000	PERMITTING
1	0.603983	1.142560	native_pdf	1.000	&
1	0.603983	1.171212	native_pdf	1.000	UTILITY
1	0.603983	1.216035	native_pdf	1.000	NOTES
1	0.179938	1.278591	native_pdf	1.000	KEYPLAN
1	0.116794	1.276284	native_pdf	1.000	PROJECT
1	0.116794	1.291996	native_pdf	1.000	NORTH
1	0.507240	1.277143	native_pdf	1.000	OSHPD
1	0.507240	1.293357	native_pdf	1.000	FACILITY#
1	0.502845	1.277143	native_pdf	1.000	OSHPD
1	0.502845	1.285499	native_pdf	1.000	#
1	0.238469	1.283760	native_pdf	1.000	UCSF
1	0.238469	1.302721	native_pdf	1.000	PROJECT
1	0.238469	1.326191	native_pdf	1.000	NUMBER:
1	0.232408	1.281384	native_pdf	1.000	747
1	0.232408	1.292793	native_pdf	1.000	52ND
1	0.232408	1.310299	native_pdf	1.000	STREET,
1	0.227636	1.289458	native_pdf	1.000	OAKLAND,
1	0.227636	1.306170	native_pdf	1.000	CA
1	0.227636	1.317448	native_pdf	1.000	94609
1	0.353579	1.344958	native_pdf	1.000	REV
1	0.254262	1.293493	native_pdf	1.000	UTILITY
1	0.254262	1.342000	native_pdf	1.000	MAKE-READY
1	0.238410	1.350827	native_pdf	1.000	9951303
1	0.507240	1.310949	native_pdf	1.000	11242
1	0.502845	1.301284	native_pdf	1.000	S250254-01-00
1	0.627667	1.275488	native_pdf	1.000	DCFM
1	0.627667	1.291800	native_pdf	1.000	APPROVAL:
1	0.567002	1.279783	native_pdf	1.000	BO/OSHPD
1	0.567002	1.300375	native_pdf	1.000	APPROVAL:
1	0.475623	1.284920	native_pdf	1.000	ARCHTIECT,
1	0.475623	1.307497	native_pdf	1.000	LANDSCAPE
1	0.475623	1.329576	native_pdf	1.000	ARCHITECT
1	0.471962	1.277028	native_pdf	1.000	301
1	0.471962	1.289265	native_pdf	1.000	BATTERY
1	0.471962	1.305577	native_pdf	1.000	STREET
1	0.468301	1.277520	native_pdf	1.000	4TH
1	0.468301	1.288561	native_pdf	1.000	FLOOR,
1	0.468301	1.299900	native_pdf	1.000	SAN
1	0.468301	1.315614	native_pdf	1.000	FRANCISCO,
1	0.468301	1.330134	native_pdf	1.000	CA
1	0.468301	1.338593	native_pdf	1.000	94111
1	0.464651	1.285088	native_pdf	1.000	415.227.0100
1	0.460990	1.286802	native_pdf	1.000	smithgroup.com
1	0.416327	1.275160	native_pdf	1.000	SEALS
1	0.416327	1.285705	native_pdf	1.000	AND
1	0.416327	1.300922	native_pdf	1.000	SIGNATURE
1	0.445861	1.278491	native_pdf	1.000	CIVIL
1	0.445861	1.293312	native_pdf	1.000	ENGINEER
1	0.442200	1.277042	native_pdf	1.000	636
1	0.442200	1.284404	native_pdf	1.000	9TH
1	0.442200	1.295842	native_pdf	1.000	STREET
1	0.438540	1.283052	native_pdf	1.000	OAKLAND,
1	0.438540	1.295586	native_pdf	1.000	CA
1	0.438540	1.304044	native_pdf	1.000	94607
1	0.434889	1.284991	native_pdf	1.000	510.873.8866
1	0.431228	1.286714	native_pdf	1.000	www.sandis.net
1	0.043401	1.278937	native_pdf	1.000	PROJECT
